Input type;NV;NN;SVM_radial;DT;RF;Class;;;;
A;91,899;89,635;91,410;91,910;91,897;M;;;;
B;83,797;82,327;83,558;83,833;83,769;M;;;;
C;67,089;69,083;71,679;72,365;71,622;M;;;;
A;89,676;91,841;92,144;92,769;92,601;P;;;;
B;87,519;88,901;88,596;88,584;87,512;P;;;;
C;84,592;85,675;86,752;85,519;86,130;P;;;;
Z;91,899;90,122;91,641;91,910;91,359;M;;;;
Z;89,676;90,755;91,368;93,063;92,30;P;;;;
