Input type;NV;NN;SVM_radial;DT;RF;Class;;;;
A;78,481;73,186;70,919;78,487;77,503;M;;;;
B;60,506;52,442;53,429;60,569;57,168;M;;;;
C;32,911;36,634;36,718;37,192;34,192;M;;;;
A;72,881;70,117;67,034;75,787;75,014;P;;;;
B;58,706;53,342;56,217;59,330;57,920;P;;;;
C;30,971;35,735;38,045;36,225;36,553;P;;;;
Z;78,481;72,186;75,494;78,466;77,209;M;;;;
Z;72,881;69,807;74,896;75,801;75,536;P;;;;
